,id,churn_probability
0,69999,1
1,70000,0
2,70001,0
3,70002,0
4,70003,1
5,70004,1
6,70005,1
7,70006,1
8,70007,0
9,70008,1
10,70009,1
11,70010,0
12,70011,1
13,70012,0
14,70013,1
15,70014,1
16,70015,0
17,70016,1
18,70017,1
19,70018,1
20,70019,1
21,70020,0
22,70021,1
23,70022,0
24,70023,0
25,70024,0
26,70025,0
27,70026,1
28,70027,0
29,70028,0
30,70029,0
31,70030,0
32,70031,0
33,70032,1
34,70033,1
35,70034,0
36,70035,0
37,70036,0
38,70037,1
39,70038,0
40,70039,0
41,70040,1
42,70041,1
43,70042,0
44,70043,0
45,70044,1
46,70045,1
47,70046,0
48,70047,1
49,70048,0
50,70049,1
51,70050,1
52,70051,1
53,70052,1
54,70053,1
55,70054,0
56,70055,1
57,70056,0
58,70057,0
59,70058,0
60,70059,0
61,70060,1
62,70061,0
63,70062,0
64,70063,0
65,70064,0
66,70065,0
67,70066,0
68,70067,0
69,70068,0
70,70069,1
71,70070,0
72,70071,1
73,70072,0
74,70073,1
75,70074,0
76,70075,0
77,70076,0
78,70077,0
79,70078,1
80,70079,1
81,70080,1
82,70081,0
83,70082,1
84,70083,1
85,70084,0
86,70085,1
87,70086,0
88,70087,0
89,70088,1
90,70089,0
91,70090,0
92,70091,0
93,70092,0
94,70093,1
95,70094,0
96,70095,0
97,70096,0
98,70097,0
99,70098,1
100,70099,0
101,70100,0
102,70101,0
103,70102,0
104,70103,1
105,70104,0
106,70105,0
107,70106,1
108,70107,1
109,70108,1
110,70109,1
111,70110,0
112,70111,1
113,70112,0
114,70113,1
115,70114,0
116,70115,0
117,70116,0
118,70117,0
119,70118,0
120,70119,0
121,70120,0
122,70121,1
123,70122,0
124,70123,0
125,70124,0
126,70125,0
127,70126,0
128,70127,1
129,70128,0
130,70129,1
131,70130,0
132,70131,1
133,70132,0
134,70133,0
135,70134,0
136,70135,1
137,70136,1
138,70137,0
139,70138,1
140,70139,0
141,70140,1
142,70141,0
143,70142,0
144,70143,0
145,70144,0
146,70145,1
147,70146,0
148,70147,0
149,70148,0
150,70149,1
151,70150,0
152,70151,1
153,70152,0
154,70153,1
155,70154,1
156,70155,0
157,70156,1
158,70157,0
159,70158,1
160,70159,0
161,70160,0
162,70161,0
163,70162,0
164,70163,1
165,70164,0
166,70165,0
167,70166,0
168,70167,0
169,70168,0
170,70169,1
171,70170,0
172,70171,0
173,70172,1
174,70173,0
175,70174,0
176,70175,0
177,70176,1
178,70177,1
179,70178,0
180,70179,0
181,70180,0
182,70181,0
183,70182,0
184,70183,1
185,70184,0
186,70185,0
187,70186,0
188,70187,0
189,70188,0
190,70189,1
191,70190,0
192,70191,0
193,70192,1
194,70193,0
195,70194,0
196,70195,0
197,70196,0
198,70197,1
199,70198,1
200,70199,1
201,70200,1
202,70201,1
203,70202,1
204,70203,1
205,70204,1
206,70205,0
207,70206,0
208,70207,1
209,70208,0
210,70209,0
211,70210,1
212,70211,0
213,70212,0
214,70213,0
215,70214,1
216,70215,1
217,70216,0
218,70217,0
219,70218,1
220,70219,0
221,70220,1
222,70221,0
223,70222,0
224,70223,0
225,70224,0
226,70225,1
227,70226,1
228,70227,0
229,70228,1
230,70229,1
231,70230,1
232,70231,0
233,70232,0
234,70233,0
235,70234,0
236,70235,0
237,70236,0
238,70237,1
239,70238,0
240,70239,0
241,70240,1
242,70241,0
243,70242,0
244,70243,0
245,70244,1
246,70245,0
247,70246,0
248,70247,0
249,70248,1
250,70249,1
251,70250,1
252,70251,0
253,70252,0
254,70253,0
255,70254,0
256,70255,0
257,70256,0
258,70257,0
259,70258,0
260,70259,0
261,70260,0
262,70261,1
263,70262,1
264,70263,0
265,70264,0
266,70265,0
267,70266,1
268,70267,0
269,70268,0
270,70269,1
271,70270,1
272,70271,0
273,70272,0
274,70273,1
275,70274,0
276,70275,0
277,70276,1
278,70277,0
279,70278,0
280,70279,1
281,70280,1
282,70281,1
283,70282,0
284,70283,0
285,70284,0
286,70285,0
287,70286,0
288,70287,1
289,70288,1
290,70289,1
291,70290,0
292,70291,1
293,70292,1
294,70293,1
295,70294,0
296,70295,0
297,70296,1
298,70297,0
299,70298,0
300,70299,1
301,70300,0
302,70301,0
303,70302,1
304,70303,0
305,70304,0
306,70305,0
307,70306,0
308,70307,1
309,70308,0
310,70309,0
311,70310,1
312,70311,0
313,70312,1
314,70313,1
315,70314,0
316,70315,0
317,70316,0
318,70317,1
319,70318,0
320,70319,1
321,70320,0
322,70321,1
323,70322,1
324,70323,0
325,70324,0
326,70325,1
327,70326,1
328,70327,0
329,70328,1
330,70329,1
331,70330,0
332,70331,0
333,70332,1
334,70333,1
335,70334,0
